CHMV025941,3
ITMV002120,2
ITMV002249,2
ITMV002377,2
ITMV002383,2
ITMV002421,2
MEMV013041,2
MEMV013543,2
MEMV013861,2
MEMV013878,3
MEMV014045,2
MEMV014236,4
MEMV015325,2
MEMV015858,2
MEMV015885,2
MEMV015921,5
MEMV015922,5
MEMV016122,4
MEMV016278,2
MEMV016554,4
MEMV016555,14
MEMV016581,2
MEMV016768,3
MEMV016808,2
MEMV016840,2
OPMV000666,2
OPMV000667,2
OPMV000716,2
OPMV000763,10
OPMV000769,2
OPMV000790,2
OPMV000791,7
OPMV000796,6
OPMV000805,2
OPMV000831,2
OPMV000863,3
OPMV000876,3
OPMV001046,2
OPMV001047,2
OPMV001048,2
PEMV031381,2
PEMV033132,2
PEMV033479,2
PEMV033773,2
PEMV034065,2
PEMV034622,2
PEMV035684,2
PEMV035811,3
PEMV036334,2
PEMV036335,2
PEMV036552,2
PEMV036675,2
PEMV036974,3
ROMV033191,2
ROMV033290,2
ROMV033683,6
ROMV034037,2
ROMV034415,2
ROMV036034,2
ROMV036634,3
ROMV036883,4
ROMV037247,4
ROMV037280,2
ROMV037395,9
ROMV037700,3
ROMV037728,2
ROMV037778,4
ROMV037884,4
SAMV030439,14
SAMV030465,2
SAMV030495,2
SAMV030592,3
SAMV030611,2
SAMV030615,2
SAMV030653,4
SAMV030969,2
SAMV031169,3
SLMV015045,2
SLMV015642,2
SLMV015643,2
SLMV015735,3
VRMV004935,2
VRMV008291,2
VRMV008751,2
